Horario;Conta;Instrumento;Lado;Qtd Ordem;Qtd Execucao Atual;Qtd Exec Acumulada;Preco Executado;Notional Ordem;Notional Exec Atual;Notional Exec Acumulada;Entering Trader
20250629-21:24:16.067;ACC009;MGLU3;Sell;162;0;162;283.8631960276154;45985.837756473695;0.0;45985.837756473695;ANA
20250629-21:24:16.067;ACC001;BBAS3;Buy;431;0;431;239.69125049877726;103306.928964973;0.0;103306.928964973;MARIA
20250629-21:24:16.067;ACC003;BBDC4;Buy;153;0;153;282.73391432609833;43258.28889189305;0.0;43258.28889189305;ANA
20250629-21:24:16.069;ACC010;PETR4;Buy;825;0;825;451.88554618119156;372805.57559948304;0.0;372805.57559948304;JOSE
20250629-21:24:16.069;ACC007;RENT3;Sell;567;0;567;193.50354554555545;109716.51032432994;0.0;109716.51032432994;MARIA
20250629-21:24:16.069;ACC008;LREN3;Buy;832;0;832;402.49825779361674;334878.5504842891;0.0;334878.5504842891;JOSE
20250629-21:24:16.069;ACC004;LREN3;Sell;796;0;796;94.9989329175058;75619.15060233462;0.0;75619.15060233462;PAULO
20250629-21:24:16.069;ACC004;ABEV3;Sell;875;0;875;273.3145738006071;239150.2520755312;0.0;239150.2520755312;PAULO
20250629-21:24:16.069;ACC003;VALE3;Sell;251;0;251;207.45629637742834;52071.530390734515;0.0;52071.530390734515;CARLOS
20250629-21:24:16.069;ACC005;ABEV3;Buy;801;0;801;288.14817078578585;230806.68479941448;0.0;230806.68479941448;CARLOS
20250629-21:24:16.069;ACC010;VALE3;Sell;613;0;613;299.69462616502443;183712.80583915996;0.0;183712.80583915996;CARLOS
20250629-21:24:16.069;ACC010;BBDC4;Sell;133;0;133;267.7960010980097;35616.86814603529;0.0;35616.86814603529;JOSE
20250629-21:24:16.069;ACC004;WEGE3;Sell;197;0;197;286.8993947660938;56519.18076892048;0.0;56519.18076892048;MARIA
20250629-21:24:16.069;ACC010;RENT3;Buy;152;0;152;165.66225131858943;25180.66220042559;0.0;25180.66220042559;MARIA
20250629-21:24:16.069;ACC001;LREN3;Sell;342;0;342;330.343518324447;112977.48326696087;0.0;112977.48326696087;ANA
20250629-21:24:16.069;ACC008;RENT3;Buy;524;0;524;91.00117534710174;47684.61588188131;0.0;47684.61588188131;MARIA
20250629-21:24:16.070;ACC006;BBAS3;Buy;643;0;643;352.75675772381095;226822.59521641044;0.0;226822.59521641044;MARIA
20250629-21:24:16.070;ACC007;RENT3;Buy;843;0;843;428.41862459426636;361156.90053296654;0.0;361156.90053296654;MARIA
20250629-21:24:16.070;ACC009;MGLU3;Sell;358;0;358;301.761428825312;108030.5915194617;0.0;108030.5915194617;CARLOS
20250629-21:24:16.070;ACC003;WEGE3;Buy;146;0;146;275.6951651795548;40251.494116215;0.0;40251.494116215;MARIA
20250629-21:24:16.070;ACC010;BBAS3;Sell;875;0;875;368.51156956450836;322447.6233689448;0.0;322447.6233689448;ANA
20250629-21:24:16.070;ACC005;BBDC4;Sell;764;0;764;256.7394679953788;196148.9535484694;0.0;196148.9535484694;MARIA
20250629-21:24:16.070;ACC002;ITUB4;Sell;446;0;446;229.26011460482124;102250.01111375027;0.0;102250.01111375027;MARIA
20250629-21:24:16.070;ACC005;BBAS3;Buy;219;0;219;343.8091131418435;75294.19577806373;0.0;75294.19577806373;PAULO
20250629-21:24:16.070;ACC010;BBAS3;Buy;513;0;513;259.2650279472591;133002.95933694392;0.0;133002.95933694392;PAULO
20250629-21:24:16.070;ACC005;VALE3;Sell;412;0;412;161.65333448897243;66601.17380945664;0.0;66601.17380945664;MARIA
20250629-21:24:16.070;ACC008;WEGE3;Buy;209;0;209;259.19577787726683;54171.917576348766;0.0;54171.917576348766;PAULO
20250629-21:24:16.070;ACC001;LREN3;Sell;703;0;703;199.30698718085776;140112.81198814302;0.0;140112.81198814302;PAULO
20250629-21:24:16.070;ACC008;BBDC4;Sell;645;0;645;253.4912698482754;163501.86905213763;0.0;163501.86905213763;CARLOS
20250629-21:24:16.071;ACC004;BBDC4;Sell;857;0;857;275.5407784021291;236138.44709062463;0.0;236138.44709062463;ANA
20250629-21:24:16.071;ACC005;VALE3;Sell;773;0;773;353.68460285093994;273398.19800377655;0.0;273398.19800377655;ANA
20250629-21:24:16.071;ACC009;WEGE3;Buy;565;0;565;154.39079539467437;87230.79939799102;0.0;87230.79939799102;PAULO
20250629-21:24:16.071;ACC001;RENT3;Sell;457;0;457;322.6669198223655;147458.78235882104;0.0;147458.78235882104;PAULO
20250629-21:24:16.071;ACC003;MGLU3;Buy;806;0;806;449.4928929222307;362291.27169531793;0.0;362291.27169531793;CARLOS
20250629-21:24:16.071;ACC004;WEGE3;Sell;745;0;745;126.88667044424444;94530.5694809621;0.0;94530.5694809621;CARLOS
20250629-21:24:16.071;ACC007;VALE3;Buy;549;0;549;261.7122101282105;143680.00336038755;0.0;143680.00336038755;PAULO
20250629-21:24:16.071;ACC004;LREN3;Sell;988;0;988;305.55154323576073;301884.9247169316;0.0;301884.9247169316;JOSE
20250629-21:24:16.071;ACC007;VALE3;Sell;335;0;335;300.3524406481015;100618.067617114;0.0;100618.067617114;ANA
20250629-21:24:16.071;ACC010;WEGE3;Buy;108;0;108;249.43359685582936;26938.82846042957;0.0;26938.82846042957;PAULO
20250629-21:24:16.072;ACC007;ABEV3;Sell;314;0;314;320.55841053735844;100655.34090873055;0.0;100655.34090873055;ANA
20250629-21:24:16.072;ACC004;VALE3;Sell;323;0;323;393.8794473690673;127223.06150020873;0.0;127223.06150020873;PAULO
20250629-21:24:16.072;ACC002;BBDC4;Buy;673;0;673;91.79535987855675;61778.2771982687;0.0;61778.2771982687;ANA
20250629-21:24:16.072;ACC007;BBDC4;Sell;181;0;181;208.8117670723876;37794.92984010215;0.0;37794.92984010215;JOSE
20250629-21:24:16.072;ACC010;ITUB4;Sell;221;0;221;220.07567783273566;48636.72480103458;0.0;48636.72480103458;ANA
20250629-21:24:16.072;ACC006;RENT3;Sell;874;0;874;447.14328967205915;390803.2351733797;0.0;390803.2351733797;JOSE
20250629-21:24:16.072;ACC009;LREN3;Sell;228;0;228;204.08076391190377;46530.41417191406;0.0;46530.41417191406;PAULO
20250629-21:24:16.072;ACC005;WEGE3;Buy;914;0;914;47.5660675410142;43475.385732486975;0.0;43475.385732486975;JOSE
20250629-21:24:16.072;ACC009;BBAS3;Sell;761;0;761;369.7605145531204;281387.7515749246;0.0;281387.7515749246;MARIA
20250629-21:24:16.072;ACC005;BBAS3;Sell;948;0;948;248.0856849988601;235185.22937891938;0.0;235185.22937891938;JOSE
20250629-21:24:16.072;ACC009;BBAS3;Buy;387;0;387;150.7915421364839;58356.32680681928;0.0;58356.32680681928;ANA
20250629-21:24:16.072;ACC004;PETR4;Buy;380;0;380;449.59026441018847;170844.30047587163;0.0;170844.30047587163;MARIA
20250629-21:24:16.073;ACC001;BBDC4;Buy;725;0;725;329.1173874353429;238610.10589062358;0.0;238610.10589062358;CARLOS
20250629-21:24:16.073;ACC009;LREN3;Sell;395;0;395;246.5778901325269;97398.26660234813;0.0;97398.26660234813;ANA
20250629-21:24:16.073;ACC004;BBDC4;Buy;702;0;702;433.9521802567639;304634.4305402482;0.0;304634.4305402482;JOSE
20250629-21:24:16.073;ACC007;ABEV3;Buy;619;0;619;122.33455856415083;75725.09175120936;0.0;75725.09175120936;CARLOS
20250629-21:24:16.073;ACC004;BBAS3;Buy;548;0;548;349.64141706594796;191603.4965521395;0.0;191603.4965521395;MARIA
20250629-21:24:16.073;ACC005;ABEV3;Sell;906;0;906;246.39694962765765;223235.63636265782;0.0;223235.63636265782;PAULO
20250629-21:24:16.073;ACC009;ITUB4;Sell;280;0;280;201.1993692809054;56335.823398653505;0.0;56335.823398653505;PAULO
20250629-21:24:16.073;ACC008;ITUB4;Buy;218;0;218;290.0847332756208;63238.471854085336;0.0;63238.471854085336;MARIA
20250629-21:24:16.073;ACC006;PETR4;Buy;440;0;440;198.37872287757693;87286.63806613385;0.0;87286.63806613385;JOSE
20250629-21:24:16.073;ACC003;MGLU3;Sell;181;0;181;237.68880995520425;43021.674601891966;0.0;43021.674601891966;MARIA
20250629-21:24:16.073;ACC010;PETR4;Sell;151;0;151;286.453717395649;43254.511326743;0.0;43254.511326743;MARIA
20250629-21:24:16.073;ACC008;MGLU3;Buy;915;0;915;164.42632320629593;150450.0857337608;0.0;150450.0857337608;CARLOS
20250629-21:24:16.073;ACC010;PETR4;Sell;398;0;398;376.14588243272476;149706.06120822445;0.0;149706.06120822445;ANA
20250629-21:24:16.073;ACC010;ITUB4;Buy;483;0;483;277.82935180237007;134191.57692054476;0.0;134191.57692054476;CARLOS
20250629-21:24:16.075;ACC005;PETR4;Sell;561;0;561;83.96387805518478;47103.73558895866;0.0;47103.73558895866;PAULO
20250629-21:24:16.075;ACC001;BBAS3;Sell;137;0;137;217.2608034052682;29764.730066521744;0.0;29764.730066521744;CARLOS
20250629-21:24:16.075;ACC004;WEGE3;Sell;267;0;267;233.11096364252847;62240.6272925551;0.0;62240.6272925551;CARLOS
20250629-21:24:16.075;ACC006;ITUB4;Sell;405;0;405;327.2045461502063;132517.84119083354;0.0;132517.84119083354;MARIA
20250629-21:24:16.075;ACC005;ITUB4;Buy;232;0;232;76.2396298052965;17687.59411482879;0.0;17687.59411482879;JOSE
20250629-21:24:16.075;ACC002;LREN3;Sell;852;0;852;152.22780288162562;129698.08805514502;0.0;129698.08805514502;MARIA
20250629-21:24:16.075;ACC007;BBAS3;Sell;532;0;532;305.56364785513745;162559.86065893312;0.0;162559.86065893312;ANA
20250629-21:24:16.075;ACC003;ABEV3;Buy;234;0;234;300.8931394200786;70408.9946242984;0.0;70408.9946242984;JOSE
20250629-21:24:16.075;ACC005;ABEV3;Sell;683;0;683;284.73615305054705;194474.79253352364;0.0;194474.79253352364;JOSE
20250629-21:24:16.075;ACC009;ITUB4;Buy;817;0;817;440.8283400279885;360156.75380286656;0.0;360156.75380286656;ANA
20250629-21:24:16.076;ACC007;PETR4;Sell;272;0;272;346.20083084459884;94166.62598973088;0.0;94166.62598973088;ANA
20250629-21:24:16.076;ACC007;MGLU3;Buy;654;0;654;151.14797865608992;98850.77804108281;0.0;98850.77804108281;MARIA
20250629-21:24:16.076;ACC005;RENT3;Buy;745;0;745;215.08372804136098;160237.37739081393;0.0;160237.37739081393;PAULO
20250629-21:24:16.076;ACC008;ABEV3;Buy;411;0;411;166.9416168927496;68613.00454292008;0.0;68613.00454292008;PAULO
20250629-21:24:16.076;ACC008;ABEV3;Buy;799;0;799;109.65215601595412;87612.07265674735;0.0;87612.07265674735;CARLOS
20250629-21:24:16.076;ACC002;WEGE3;Sell;176;0;176;87.267058712197;15359.002333346672;0.0;15359.002333346672;MARIA
20250629-21:24:16.076;ACC009;VALE3;Buy;603;0;603;221.96480189619552;133844.7755434059;0.0;133844.7755434059;ANA
20250629-21:24:16.076;ACC007;ABEV3;Sell;339;0;339;105.56450124515855;35786.36592210875;0.0;35786.36592210875;ANA
20250629-21:24:16.076;ACC007;WEGE3;Buy;738;0;738;363.94835209771713;268593.8838481152;0.0;268593.8838481152;MARIA
20250629-21:24:16.076;ACC005;LREN3;Buy;256;0;256;379.2822157287862;97096.24722656926;0.0;97096.24722656926;ANA
